Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,TIPODOCUMENTO,TipoDeDocumento
2,"MA dos Anjos, A Samuel-Rosa",Avaliação de softwares livres e de código aberto para gestão de metadados no Repositório Brasileiro Livre para Dados Abertos do Solo,2020.0,… Latino-Americano de Software Livre …,sol.sbc.org.br,https://sol.sbc.org.br/index.php/latinoware/article/view/18632,"https://scholar.google.com/scholar?cites=3833578820182968688&as_sdt=2005&sciodt=0,5&hl=en",11,2024-04-25 13:44:42,,,,,,,,,2,0.5,1,2,4.0,… na avaliação dos softwares de gerenciamento de metadados no Repositório Brasileiro Livre … de cada software apresentando recursos para construção de um repositório de dados de …,https://sol.sbc.org.br/index.php/latinoware/article/download/18632/18462,"https://scholar.google.com/scholar?q=related:cIl3M6CbMzUJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
0,"RH Fiche, LRC Moura, LCG Maia…",Roteiro de Escolha de Software Repositório de Documentos,2020.0,Revista de Tecnologia …,cc.faccamp.br,http://www.cc.faccamp.br/ojs-2.4.8-2/index.php/RTA/article/view/1424,,12,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,4,4.0,… O objetivo desse trabalho é o de apresentar as funcionalidades que um software de repositório de documentos deve possuir. São apresentados diversos aspectos que esse sistema …,https://www.cc.faccamp.br/ojs-2.4.8-2/index.php/RTA/article/viewFile/1424/697,"https://scholar.google.com/scholar?q=related:Su56MYFFIaUJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
1,RAR Seiça,TREE: um repositório de objectos educativos de software aberto com perfil de metadados,2009.0,,repositorio-aberto.up.pt,https://repositorio-aberto.up.pt/bitstream/10216/58424/1/000137073.pdf,"https://scholar.google.com/scholar?cites=14677220327492657944&as_sdt=2005&sciodt=0,5&hl=en",13,2024-04-25 13:44:42,PDF,,,,,,,,1,0.07,1,1,15.0,… de objectos educativos TREE foi baseada em ferramentas de software aberto e adoptou … repositório TREE foi implementado com base no software Fedora Commons e utiliza o software …,https://repositorio-aberto.up.pt/bitstream/10216/58424/1/000137073.pdf,"https://scholar.google.com/scholar?q=related:GKNX5h_2r8sJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",DISSERTAÇÃO,Dissertação de Mestrado
1,MP Barcellos,Instrumento para Avaliação de Repositório de Medição Considerando a Adequação ao Controle Estatístico de Processos de Software,2015.0,,nemo.inf.ufes.br,https://nemo.inf.ufes.br/wp-content/uploads/MeiSE/IARM-v2.0.pdf,"https://scholar.google.com/scholar?cites=4506149196083489254&as_sdt=2005&sciodt=0,5&hl=en",14,2024-04-25 13:44:42,PDF,,,,,,,,1,0.11,1,1,9.0,"… Nesses modelos, a medição de software é requerida desde … , armazenados em um repositório de medição e analisados a fim … uma evolução da medição de software iniciada nos níveis …",https://nemo.inf.ufes.br/wp-content/uploads/MeiSE/IARM-v2.0.pdf,"https://scholar.google.com/scholar?q=related:5ul3udEOiT4J:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
1,HR Faria,"Um modelo de processo de apoio ao desenvolvimento de software baseado em componentes, orientado a qualidade, e centrado em um repositório.",2005.0,,teses.usp.br,https://www.teses.usp.br/teses/disponiveis/3/3141/tde-11012006-115522/en.php,"https://scholar.google.com/scholar?cites=12508062065847528513&as_sdt=2005&sciodt=0,5&hl=en",15,2024-04-25 13:44:42,,,,,,,,,1,0.05,1,1,19.0,"… de desenvolvimento de software a partir de … software, bem como flexibilidade de implementação, manutenção e integração de sistemas. O ciclo de vida de um componente de …",https://www.teses.usp.br/teses/disponiveis/3/3141/tde-11012006-115522/publico/dissertacao.pdf,"https://scholar.google.com/scholar?q=related:QWxhpy2Qla0J:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",DISSERTAÇÃO DE MESTRADO,Tipo Desconhecido
1,HAP Silva,Spm: uma ferramenta para gerenciamento de projetos do github baseada em técnicas de mineração de repositório de software,2019.0,,memoria.ifrn.edu.br,https://memoria.ifrn.edu.br/handle/1044/2528,"https://scholar.google.com/scholar?cites=10933016927178707478&as_sdt=2005&sciodt=0,5&hl=en",16,2024-04-25 13:44:42,,,,,,,,,1,0.2,1,1,5.0,"… software, a utilização de ferramentas dashboards que apresentam informações relevantes de projetos de software … da disciplina de Mineração de Repositório de Software (MRS) nos …",https://memoria.ifrn.edu.br/bitstream/handle/1044/2528/spm_herlan_tcc_versao_final.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:FtLRO_jguZcJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",TRABALHO DE CONCLUSÃO DE CURSO,Trabalho de conclusão de curso
0,EC Jesus,O impacto de fatores contextuais na incidência de code smells: um estudo exploratório baseado em mineração de repositório de software,2022.0,,tede2.uefs.br,http://tede2.uefs.br:8080/handle/tede/1554,,17,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,1,2.0,"… quality of software projects is related to the context in which the software is developed. From this perspective, adopting the concept of code smell in the practice of software development, …",http://tede2.uefs.br:8080/bitstream/tede/1554/2/DISSERTA%C3%87%C3%83O%20-%20Elivelton%20Cerqueira%20de%20Jesus.pdf,"https://scholar.google.com/scholar?q=related:INm1gnfbMksJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",DISSERTAÇÃO,Dissertação de Mestrado
1,"CA Yaguinuma, MTP Santos, M Biajiz…",Repositório de Componentes Auxiliando a Identificação ea Reutilização de Padrões de Software,2005.0,V Workshop de …,researchgate.net,https://www.researchgate.net/profile/Marilde-Prado-Santos/publication/267216967_Repositorio_de_Componentes_Auxiliando_a_Identificacao_e_a_Reutilizacao_de_Padroes_de_Software/links/5450d9af0cf24e8f73762297/Repositorio-de-Componentes-Auxiliando-a-Identificacao-e-a-Reutilizacao-de-Padroes-de-Software.pdf,"https://scholar.google.com/scholar?cites=8714302899818258674&as_sdt=2005&sciodt=0,5&hl=en",18,2024-04-25 13:44:42,PDF,,,,,,,,1,0.05,0,4,19.0,"… software components can reach a mature level that makes it possible to identify new software … This paper presents a meta-model for identification, storage and reuse of software patterns …",https://www.researchgate.net/profile/Marilde-Prado-Santos/publication/267216967_Repositorio_de_Componentes_Auxiliando_a_Identificacao_e_a_Reutilizacao_de_Padroes_de_Software/links/5450d9af0cf24e8f73762297/Repositorio-de-Componentes-Auxiliando-a-Identificacao-e-a-Reutilizacao-de-Padroes-de-Software.pdf,"https://scholar.google.com/scholar?q=related:8uDSKFFs73gJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
0,SA Araujo,Uma abordagem para construção do repositório de medidas em organizações de software,2008.0,,bdtd.ibict.br,https://bdtd.ibict.br/vufind/Record/UFOR_c808238d2114646d853803dc8fcdd959,,19,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,1,16.0,"… um repositório … repositório de medidas que atendem a estes requisitos. Como exemplo de uso da abordagem, foi elaborado o repositório de medidas em uma organização de software, …",,"https://scholar.google.com/scholar?q=related:orFp2sEDrXwJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
0,IR Alencar,ARIEL: um repositório para gerenciar modelos de ecossistemas de software,2019.0,,repositorio.ufc.br,https://repositorio.ufc.br/handle/riufc/55110,,20,2024-04-25 13:44:42,,,,,,,,,0,0.0,0,1,5.0,"… de Software é uma disciplina que tem como objetivo os aspectos de produçao de software. … no desenvolvimento de um software, surgiu a ideia de decompor o software em unidades …",https://repositorio.ufc.br/bitstream/riufc/55110/1/2019_tcc_iralencar.pdf,"https://scholar.google.com/scholar?q=related:isAVYEu3RqcJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",TCC,Trabalho de conclusão de curso
